Pe,n_antennas,precision,recall,accuracy,true_negatives,false_negatives,true_positives,false_positives
0.0,64,0.0,1.0,0.984,492,0,0,8
0.0,80,1.0,1.0,1.0,500,0,0,0
0.0,96,0.0,1.0,0.996,498,0,0,2
0.0,112,0.0,1.0,0.994,497,0,0,3
0.0,128,0.0,1.0,0.998,499,0,0,1
0.0,144,1.0,1.0,1.0,500,0,0,0
0.0,160,0.0,1.0,0.998,499,0,0,1
0.0,176,1.0,1.0,1.0,500,0,0,0
0.0,192,0.0,1.0,0.998,499,0,0,1
0.0,208,1.0,1.0,1.0,500,0,0,0
0.0,224,1.0,1.0,1.0,500,0,0,0
0.0,240,1.0,1.0,1.0,500,0,0,0
0.0,256,1.0,1.0,1.0,500,0,0,0
0.5,64,1.0,0.88,0.88,0,12,88,0
0.5,80,1.0,0.91,0.91,0,9,91,0
0.5,96,1.0,0.89,0.89,0,11,89,0
0.5,112,1.0,0.98,0.98,0,2,98,0
0.5,128,1.0,0.97,0.97,0,3,97,0
0.5,144,1.0,0.99,0.99,0,1,99,0
0.5,160,1.0,0.99,0.99,0,1,99,0
0.5,176,1.0,0.98,0.98,0,2,98,0
0.5,192,1.0,1.0,1.0,0,0,100,0
0.5,208,1.0,1.0,1.0,0,0,100,0
0.5,224,1.0,0.99,0.99,0,1,99,0
0.5,240,1.0,1.0,1.0,0,0,100,0
0.5,256,1.0,1.0,1.0,0,0,100,0
1.0,64,1.0,1.0,1.0,0,0,100,0
1.0,80,1.0,1.0,1.0,0,0,100,0
1.0,96,1.0,1.0,1.0,0,0,100,0
1.0,112,1.0,1.0,1.0,0,0,100,0
1.0,128,1.0,1.0,1.0,0,0,100,0
1.0,144,1.0,1.0,1.0,0,0,100,0
1.0,160,1.0,1.0,1.0,0,0,100,0
1.0,176,1.0,1.0,1.0,0,0,100,0
1.0,192,1.0,1.0,1.0,0,0,100,0
1.0,208,1.0,1.0,1.0,0,0,100,0
1.0,224,1.0,1.0,1.0,0,0,100,0
1.0,240,1.0,1.0,1.0,0,0,100,0
1.0,256,1.0,1.0,1.0,0,0,100,0
1.5,64,1.0,1.0,1.0,0,0,100,0
1.5,80,1.0,1.0,1.0,0,0,100,0
1.5,96,1.0,1.0,1.0,0,0,100,0
1.5,112,1.0,1.0,1.0,0,0,100,0
1.5,128,1.0,1.0,1.0,0,0,100,0
1.5,144,1.0,1.0,1.0,0,0,100,0
1.5,160,1.0,1.0,1.0,0,0,100,0
1.5,176,1.0,1.0,1.0,0,0,100,0
1.5,192,1.0,1.0,1.0,0,0,100,0
1.5,208,1.0,1.0,1.0,0,0,100,0
1.5,224,1.0,1.0,1.0,0,0,100,0
1.5,240,1.0,1.0,1.0,0,0,100,0
1.5,256,1.0,1.0,1.0,0,0,100,0
2.0,64,1.0,1.0,1.0,0,0,100,0
2.0,80,1.0,1.0,1.0,0,0,100,0
2.0,96,1.0,1.0,1.0,0,0,100,0
2.0,112,1.0,1.0,1.0,0,0,100,0
2.0,128,1.0,1.0,1.0,0,0,100,0
2.0,144,1.0,1.0,1.0,0,0,100,0
2.0,160,1.0,1.0,1.0,0,0,100,0
2.0,176,1.0,1.0,1.0,0,0,100,0
2.0,192,1.0,1.0,1.0,0,0,100,0
2.0,208,1.0,1.0,1.0,0,0,100,0
2.0,224,1.0,1.0,1.0,0,0,100,0
2.0,240,1.0,1.0,1.0,0,0,100,0
2.0,256,1.0,1.0,1.0,0,0,100,0
2.5,64,1.0,1.0,1.0,0,0,100,0
2.5,80,1.0,1.0,1.0,0,0,100,0
2.5,96,1.0,1.0,1.0,0,0,100,0
2.5,112,1.0,1.0,1.0,0,0,100,0
2.5,128,1.0,1.0,1.0,0,0,100,0
2.5,144,1.0,1.0,1.0,0,0,100,0
2.5,160,1.0,1.0,1.0,0,0,100,0
2.5,176,1.0,1.0,1.0,0,0,100,0
2.5,192,1.0,1.0,1.0,0,0,100,0
2.5,208,1.0,1.0,1.0,0,0,100,0
2.5,224,1.0,1.0,1.0,0,0,100,0
2.5,240,1.0,1.0,1.0,0,0,100,0
2.5,256,1.0,1.0,1.0,0,0,100,0
