Pe,n_antennas,true_negatives,false_negatives,true_positives,false_positives,detection_proba,precision,recall,accuracy
0.0,64,500,0,0,0,0.0,1.0,1.0,1.0
0.0,80,500,0,0,0,0.0,1.0,1.0,1.0
0.0,96,500,0,0,0,0.0,1.0,1.0,1.0
0.0,112,500,0,0,0,0.0,1.0,1.0,1.0
0.0,128,500,0,0,0,0.0,1.0,1.0,1.0
0.0,144,500,0,0,0,0.0,1.0,1.0,1.0
0.0,160,500,0,0,0,0.0,1.0,1.0,1.0
0.0,176,500,0,0,0,0.0,1.0,1.0,1.0
0.0,192,500,0,0,0,0.0,1.0,1.0,1.0
0.0,208,500,0,0,0,0.0,1.0,1.0,1.0
0.0,224,500,0,0,0,0.0,1.0,1.0,1.0
0.0,240,500,0,0,0,0.0,1.0,1.0,1.0
0.0,256,500,0,0,0,0.0,1.0,1.0,1.0
0.5,64,0,29,71,0,0.71,1.0,0.71,0.71
0.5,80,0,31,69,0,0.69,1.0,0.69,0.69
0.5,96,0,40,60,0,0.6,1.0,0.6,0.6
0.5,112,0,26,74,0,0.74,1.0,0.74,0.74
0.5,128,0,36,64,0,0.64,1.0,0.64,0.64
0.5,144,0,26,74,0,0.74,1.0,0.74,0.74
0.5,160,0,37,63,0,0.63,1.0,0.63,0.63
0.5,176,0,39,61,0,0.61,1.0,0.61,0.61
0.5,192,0,41,59,0,0.59,1.0,0.59,0.59
0.5,208,0,32,68,0,0.68,1.0,0.68,0.68
0.5,224,0,42,58,0,0.58,1.0,0.58,0.58
0.5,240,0,36,64,0,0.64,1.0,0.64,0.64
0.5,256,0,38,62,0,0.62,1.0,0.62,0.62
1.0,64,0,1,99,0,0.99,1.0,0.99,0.99
1.0,80,0,1,99,0,0.99,1.0,0.99,0.99
1.0,96,0,0,100,0,1.0,1.0,1.0,1.0
1.0,112,0,0,100,0,1.0,1.0,1.0,1.0
1.0,128,0,0,100,0,1.0,1.0,1.0,1.0
1.0,144,0,0,100,0,1.0,1.0,1.0,1.0
1.0,160,0,0,100,0,1.0,1.0,1.0,1.0
1.0,176,0,0,100,0,1.0,1.0,1.0,1.0
1.0,192,0,0,100,0,1.0,1.0,1.0,1.0
1.0,208,0,0,100,0,1.0,1.0,1.0,1.0
1.0,224,0,0,100,0,1.0,1.0,1.0,1.0
1.0,240,0,0,100,0,1.0,1.0,1.0,1.0
1.0,256,0,0,100,0,1.0,1.0,1.0,1.0
1.5,64,0,0,100,0,1.0,1.0,1.0,1.0
1.5,80,0,0,100,0,1.0,1.0,1.0,1.0
1.5,96,0,0,100,0,1.0,1.0,1.0,1.0
1.5,112,0,0,100,0,1.0,1.0,1.0,1.0
1.5,128,0,0,100,0,1.0,1.0,1.0,1.0
1.5,144,0,0,100,0,1.0,1.0,1.0,1.0
1.5,160,0,0,100,0,1.0,1.0,1.0,1.0
1.5,176,0,0,100,0,1.0,1.0,1.0,1.0
1.5,192,0,0,100,0,1.0,1.0,1.0,1.0
1.5,208,0,0,100,0,1.0,1.0,1.0,1.0
1.5,224,0,0,100,0,1.0,1.0,1.0,1.0
1.5,240,0,0,100,0,1.0,1.0,1.0,1.0
1.5,256,0,0,100,0,1.0,1.0,1.0,1.0
2.0,64,0,0,100,0,1.0,1.0,1.0,1.0
2.0,80,0,0,100,0,1.0,1.0,1.0,1.0
2.0,96,0,0,100,0,1.0,1.0,1.0,1.0
2.0,112,0,0,100,0,1.0,1.0,1.0,1.0
2.0,128,0,0,100,0,1.0,1.0,1.0,1.0
2.0,144,0,0,100,0,1.0,1.0,1.0,1.0
2.0,160,0,0,100,0,1.0,1.0,1.0,1.0
2.0,176,0,0,100,0,1.0,1.0,1.0,1.0
2.0,192,0,0,100,0,1.0,1.0,1.0,1.0
2.0,208,0,0,100,0,1.0,1.0,1.0,1.0
2.0,224,0,0,100,0,1.0,1.0,1.0,1.0
2.0,240,0,0,100,0,1.0,1.0,1.0,1.0
2.0,256,0,0,100,0,1.0,1.0,1.0,1.0
2.5,64,0,0,100,0,1.0,1.0,1.0,1.0
2.5,80,0,0,100,0,1.0,1.0,1.0,1.0
2.5,96,0,0,100,0,1.0,1.0,1.0,1.0
2.5,112,0,0,100,0,1.0,1.0,1.0,1.0
2.5,128,0,0,100,0,1.0,1.0,1.0,1.0
2.5,144,0,0,100,0,1.0,1.0,1.0,1.0
2.5,160,0,0,100,0,1.0,1.0,1.0,1.0
2.5,176,0,0,100,0,1.0,1.0,1.0,1.0
2.5,192,0,0,100,0,1.0,1.0,1.0,1.0
2.5,208,0,0,100,0,1.0,1.0,1.0,1.0
2.5,224,0,0,100,0,1.0,1.0,1.0,1.0
2.5,240,0,0,100,0,1.0,1.0,1.0,1.0
2.5,256,0,0,100,0,1.0,1.0,1.0,1.0
