Pe,n_antennas,true_negatives,false_negatives,true_positives,false_positives,detection_proba,precision,recall,accuracy
0.0,64,492,0,0,8,0.016,0.0,1.0,0.984
0.0,80,500,0,0,0,0.0,1.0,1.0,1.0
0.0,96,498,0,0,2,0.004,0.0,1.0,0.996
0.0,112,497,0,0,3,0.006,0.0,1.0,0.994
0.0,128,499,0,0,1,0.002,0.0,1.0,0.998
0.0,144,500,0,0,0,0.0,1.0,1.0,1.0
0.0,160,499,0,0,1,0.002,0.0,1.0,0.998
0.0,176,500,0,0,0,0.0,1.0,1.0,1.0
0.0,192,499,0,0,1,0.002,0.0,1.0,0.998
0.0,208,500,0,0,0,0.0,1.0,1.0,1.0
0.0,224,500,0,0,0,0.0,1.0,1.0,1.0
0.0,240,500,0,0,0,0.0,1.0,1.0,1.0
0.0,256,500,0,0,0,0.0,1.0,1.0,1.0
0.5,64,0,12,88,0,0.88,1.0,0.88,0.88
0.5,80,0,9,91,0,0.91,1.0,0.91,0.91
0.5,96,0,11,89,0,0.89,1.0,0.89,0.89
0.5,112,0,2,98,0,0.98,1.0,0.98,0.98
0.5,128,0,3,97,0,0.97,1.0,0.97,0.97
0.5,144,0,1,99,0,0.99,1.0,0.99,0.99
0.5,160,0,1,99,0,0.99,1.0,0.99,0.99
0.5,176,0,2,98,0,0.98,1.0,0.98,0.98
0.5,192,0,0,100,0,1.0,1.0,1.0,1.0
0.5,208,0,0,100,0,1.0,1.0,1.0,1.0
0.5,224,0,1,99,0,0.99,1.0,0.99,0.99
0.5,240,0,0,100,0,1.0,1.0,1.0,1.0
0.5,256,0,0,100,0,1.0,1.0,1.0,1.0
1.0,64,0,0,100,0,1.0,1.0,1.0,1.0
1.0,80,0,0,100,0,1.0,1.0,1.0,1.0
1.0,96,0,0,100,0,1.0,1.0,1.0,1.0
1.0,112,0,0,100,0,1.0,1.0,1.0,1.0
1.0,128,0,0,100,0,1.0,1.0,1.0,1.0
1.0,144,0,0,100,0,1.0,1.0,1.0,1.0
1.0,160,0,0,100,0,1.0,1.0,1.0,1.0
1.0,176,0,0,100,0,1.0,1.0,1.0,1.0
1.0,192,0,0,100,0,1.0,1.0,1.0,1.0
1.0,208,0,0,100,0,1.0,1.0,1.0,1.0
1.0,224,0,0,100,0,1.0,1.0,1.0,1.0
1.0,240,0,0,100,0,1.0,1.0,1.0,1.0
1.0,256,0,0,100,0,1.0,1.0,1.0,1.0
1.5,64,0,0,100,0,1.0,1.0,1.0,1.0
1.5,80,0,0,100,0,1.0,1.0,1.0,1.0
1.5,96,0,0,100,0,1.0,1.0,1.0,1.0
1.5,112,0,0,100,0,1.0,1.0,1.0,1.0
1.5,128,0,0,100,0,1.0,1.0,1.0,1.0
1.5,144,0,0,100,0,1.0,1.0,1.0,1.0
1.5,160,0,0,100,0,1.0,1.0,1.0,1.0
1.5,176,0,0,100,0,1.0,1.0,1.0,1.0
1.5,192,0,0,100,0,1.0,1.0,1.0,1.0
1.5,208,0,0,100,0,1.0,1.0,1.0,1.0
1.5,224,0,0,100,0,1.0,1.0,1.0,1.0
1.5,240,0,0,100,0,1.0,1.0,1.0,1.0
1.5,256,0,0,100,0,1.0,1.0,1.0,1.0
2.0,64,0,0,100,0,1.0,1.0,1.0,1.0
2.0,80,0,0,100,0,1.0,1.0,1.0,1.0
2.0,96,0,0,100,0,1.0,1.0,1.0,1.0
2.0,112,0,0,100,0,1.0,1.0,1.0,1.0
2.0,128,0,0,100,0,1.0,1.0,1.0,1.0
2.0,144,0,0,100,0,1.0,1.0,1.0,1.0
2.0,160,0,0,100,0,1.0,1.0,1.0,1.0
2.0,176,0,0,100,0,1.0,1.0,1.0,1.0
2.0,192,0,0,100,0,1.0,1.0,1.0,1.0
2.0,208,0,0,100,0,1.0,1.0,1.0,1.0
2.0,224,0,0,100,0,1.0,1.0,1.0,1.0
2.0,240,0,0,100,0,1.0,1.0,1.0,1.0
2.0,256,0,0,100,0,1.0,1.0,1.0,1.0
2.5,64,0,0,100,0,1.0,1.0,1.0,1.0
2.5,80,0,0,100,0,1.0,1.0,1.0,1.0
2.5,96,0,0,100,0,1.0,1.0,1.0,1.0
2.5,112,0,0,100,0,1.0,1.0,1.0,1.0
2.5,128,0,0,100,0,1.0,1.0,1.0,1.0
2.5,144,0,0,100,0,1.0,1.0,1.0,1.0
2.5,160,0,0,100,0,1.0,1.0,1.0,1.0
2.5,176,0,0,100,0,1.0,1.0,1.0,1.0
2.5,192,0,0,100,0,1.0,1.0,1.0,1.0
2.5,208,0,0,100,0,1.0,1.0,1.0,1.0
2.5,224,0,0,100,0,1.0,1.0,1.0,1.0
2.5,240,0,0,100,0,1.0,1.0,1.0,1.0
2.5,256,0,0,100,0,1.0,1.0,1.0,1.0
